row_index,dataset,confidence_mean,accuracy_mean
106,flowers,0.4153107194338016,0.6
107,flowers,0.5394115911852282,0.3
108,flowers,0.45061696219446534,0.2
109,flowers,0.2697605135289155,0.6
110,flowers,0.5083993840731752,0.8
111,flowers,0.7303704000078537,0.6
112,flowers,0.6776369285269208,0.7
113,flowers,0.29121579836047035,0.3
114,flowers,0.5057916441841575,0.9
115,flowers,0.3579086025334022,0.8
116,flowers,0.46506141567525094,0.6
117,flowers,0.4443167369123299,0.8
118,flowers,0.5016847092942753,0.1
119,flowers,0.6993332002440595,0.8
120,flowers,0.48086387654769325,0.0
121,flowers,0.30439206672793057,0.3
122,flowers,0.25748649163221826,0.9
123,flowers,0.7006126422083159,0.6
124,flowers,0.3539024035744759,0.7
125,flowers,0.47916634053279483,0.5
126,flowers,0.4948572509493485,0.7
127,flowers,0.35580128141245837,0.7
128,flowers,0.3601847207415445,0.6
129,flowers,0.43173144369358657,0.7
130,flowers,0.3698449654830299,0.2
131,flowers,0.3440502592348166,0.7
132,flowers,0.3535405683106267,0.7
133,flowers,0.3587652036478727,0.8
134,flowers,0.3372658792831658,1.0
135,flowers,0.4833049363719293,0.4
136,flowers,0.2803209692766941,0.8
137,flowers,0.5344330621630491,0.1
138,flowers,0.730765856360535,0.4
139,flowers,0.3259886493246469,0.7
140,dmc,0.5310451415255513,0.8051470588235294
141,dmc,0.6184542807366027,0.5657894736842105
142,dmc,0.45295995029645436,0.8700787401574803
143,dmc,0.45284158595391144,0.5110294117647058
144,dmc,0.4580177866054471,1.0
145,dmc,0.6594289385674774,0.6867469879518072
146,dmc,0.6005600724968917,0.5093632958801498
147,dmc,0.5983707437101355,0.5606060606060606
148,dmc,0.4835509275196159,0.44285714285714284
149,dmc,0.49871937598156924,1.0
150,dmc,0.46245615941584906,0.8127340823970037
151,dmc,0.5160097351041386,0.9107142857142857
152,dmc,0.5194441098633568,0.40458015267175573
153,dmc,0.6150391897584946,0.6925675675675675
154,dmc,0.5514677239536118,0.42857142857142855
155,dmc,0.4596580047554929,0.6312292358803987
156,dmc,0.46562701199515477,0.5795454545454546
157,dmc,0.5230564569811721,0.3046875
158,dmc,0.5458099932283169,0.6370370370370371
159,dmc,0.5173621101524712,1.0
160,dmc,0.6552267642336487,0.6718146718146718
161,dmc,0.5333291561029875,0.8214285714285714
162,dmc,0.6437558780702397,0.931740614334471
163,dmc,0.4641700148976583,0.5880398671096345
164,dmc,0.517125430241996,0.14814814814814814
165,dmc,0.6008155666120126,0.3678571428571429
166,dmc,0.45515449750201725,1.0
167,dmc,0.6333572480460624,0.48360655737704916
168,dmc,0.6367018686334173,0.4538152610441767
169,dmc,0.5024910220781795,1.0
170,dmc,0.49776901003512125,0.3215547703180212
171,dmc,0.5263092085948099,0.6840277777777778
172,dmc,0.6527386956787895,0.2986111111111111
173,dmc,0.6266320206165311,0.9285714285714286
174,dmc,0.6120723830606495,0.4548611111111111
175,dmc,0.45555464182159433,0.625
176,dmc,0.602105114063382,0.6141732283464567
177,dmc,0.5578901043137295,0.5451388888888888
178,dmc,0.5090721479530177,0.2815884476534296
179,dmc,0.5366436850902998,1.0
180,dmc,0.5278960044787687,0.36704119850187267
181,dmc,0.5246833341117315,0.3983739837398374
182,dmc,0.6366564260339107,0.8473282442748091
183,dmc,0.5233335151545916,1.0
184,dmc,0.5114724711510896,0.4344569288389513
185,dmc,0.6201934585480406,0.7214765100671141
186,dmc,0.461867503106787,0.48484848484848486
187,dmc,0.6480541019763947,0.6785714285714286
188,dmc,0.5399030018330305,0.5490909090909091
189,dmc,0.5359627748208164,1.0
190,dmc,0.5556872129542844,1.0
191,dmc,0.6011887072584192,0.8685258964143426
192,dmc,0.6179159901156356,0.9080882352941176
